,file,blur,brightness,hash,similar_images
0,D:\My Documents\SkyDrive\images\20111001_205736_Android.jpg,46.344210574622615,149.9729764811198,2f07078b9b83075f,
1,D:\My Documents\SkyDrive\images\20111001_205744_Android.jpg,70.01279073033804,144.07733072916668,034303190101a7ff,
2,D:\My Documents\SkyDrive\images\20111002_215534_Android.jpg,38.378664081461544,124.61480102539062,fff3a3a1a10b0d0c,
3,D:\My Documents\SkyDrive\images\20111002_215542_Android.jpg,38.4919913243393,98.34350260416667,00030f1703970746,
4,D:\My Documents\SkyDrive\images\20111002_220026_Android.jpg,31.66991455026205,106.74222696940105,0f278783831f0f01,
5,D:\My Documents\SkyDrive\images\20111009_200722_Android 2.jpg,8.772390337844064,137.48384643554687,ff00000000000000,0.8125-D:\My Documents\SkyDrive\images\20130731_183112_Android.jpg
6,D:\My Documents\SkyDrive\images\20111009_200732_Android.jpg,232.90219095395776,121.07526204427083,fffffff600000000,"0.8125-D:\My Documents\SkyDrive\images\20111009_200736_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20111009_203502_Android.jpg,0.875-D:\My Documents\SkyDrive\images\20111009_204008_Android.jpg,0.9375-D:\My Documents\SkyDrive\images\20131209_113136_Android 3.jpg,0.875-D:\My Documents\SkyDrive\images\20131209_113136_Android.jpg"
7,D:\My Documents\SkyDrive\images\20111009_200736_Android.jpg,233.08379943839256,108.44776387532552,fffff7f080000000,"0.8125-D:\My Documents\SkyDrive\images\20111009_200732_Android.jpg,0.875-D:\My Documents\SkyDrive\images\20111009_203502_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20111009_204008_Android.jpg,0.875-D:\My Documents\SkyDrive\images\20130624_184347_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20130731_210944_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20131120_144247_Android 1.jpg,0.8125-D:\My Documents\SkyDrive\images\20131209_103226_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20131209_113136_Android 3.jpg,0.875-D:\My Documents\SkyDrive\images\20131209_113136_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20140214_180446_Android.jpg,0.875-D:\My Documents\SkyDrive\images\20140329_140858_Android.jpg"
8,D:\My Documents\SkyDrive\images\20111009_201548_Android.jpg,248.3237941071221,118.69565958658855,ffffcc48e0810203,
9,D:\My Documents\SkyDrive\images\20111009_203258_Android.jpg,481.2989247636395,110.83822713216146,003c3cf8e66e10f8,
10,D:\My Documents\SkyDrive\images\20111009_203306_Android.jpg,484.724313203648,124.93522298177083,ff0300f0f1c8b830,
11,D:\My Documents\SkyDrive\images\20111009_203406_Android.jpg,519.8111613662508,113.1859051513672,03e0f6d0707080f8,
12,D:\My Documents\SkyDrive\images\20111009_203502_Android.jpg,339.5483793100437,128.5548828125,ffffff0806000000,"0.8125-D:\My Documents\SkyDrive\images\20111009_200732_Android.jpg,0.875-D:\My Documents\SkyDrive\images\20111009_200736_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20130624_184347_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20131120_144247_Android 1.jpg,0.8125-D:\My Documents\SkyDrive\images\20131209_113136_Android 3.jpg,0.8125-D:\My Documents\SkyDrive\images\20131209_113136_Android.jpg,0.875-D:\My Documents\SkyDrive\images\20140214_180446_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20140329_140858_Android.jpg"
13,D:\My Documents\SkyDrive\images\20111009_203554_Android.jpg,245.13401476812206,115.97658955891927,3ffcfe3f3c340000,
14,D:\My Documents\SkyDrive\images\20111009_203604_Android.jpg,176.51719860737023,135.30830790201824,ffc0e0f0e0e04000,
15,D:\My Documents\SkyDrive\images\20111009_204008_Android.jpg,51.4485658768395,101.16725179036459,ffff7f7f00000000,"0.875-D:\My Documents\SkyDrive\images\20111009_200732_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20111009_200736_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20130624_184347_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20130731_210944_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20130806_194918_Android.jpg,0.875-D:\My Documents\SkyDrive\images\20131209_113136_Android 3.jpg,0.875-D:\My Documents\SkyDrive\images\20131209_113136_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20140329_140858_Android.jpg"
16,D:\My Documents\SkyDrive\images\20111009_204816_Android.jpg,179.34385089117563,76.72924377441406,6f72684c0fccc087,
17,D:\My Documents\SkyDrive\images\20111009_205040_Android.jpg,264.14306455391596,126.96110799153645,ffdfc0e040008080,
18,D:\My Documents\SkyDrive\images\20111009_205238_Android.jpg,536.0894947389603,112.81418253580729,e03b981f03010126,
19,D:\My Documents\SkyDrive\images\20111009_205336_Android.jpg,36.76702650993561,128.66214396158855,0f0f0fff200080a7,
20,D:\My Documents\SkyDrive\images\20111009_214016_Android.jpg,442.2523292092552,105.47650960286458,1f0f1f1f1f1f0f0f,
21,D:\My Documents\SkyDrive\images\20111009_214540_Android.jpg,206.4195506818049,29.138299357096354,00008080fffb6f6c,
22,D:\My Documents\SkyDrive\images\20111009_214554_Android.jpg,70.0541863969952,35.630755004882815,000000306fcedf3f,
23,D:\My Documents\SkyDrive\images\20111014_202136_Android.jpg,163.50438740632245,92.49826151529948,e3fd7d7c3e230000,
24,D:\My Documents\SkyDrive\images\20111014_202144_Android.jpg,68.85045467159121,123.57128072102864,ffffff0f03010000,"1.0-D:\My Documents\SkyDrive\images\20111014_202150_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20131120_144247_Android 1.jpg,0.8125-D:\My Documents\SkyDrive\images\20140214_180446_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20140407_063122_Android.jpg"
25,D:\My Documents\SkyDrive\images\20111014_202150_Android.jpg,141.98412837837787,117.37941101074219,ffffff0f03010000,"1.0-D:\My Documents\SkyDrive\images\20111014_202144_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20131120_144247_Android 1.jpg,0.8125-D:\My Documents\SkyDrive\images\20140214_180446_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20140407_063122_Android.jpg"
26,D:\My Documents\SkyDrive\images\20111014_203012_Android.jpg,41.3548679222262,44.39420328776042,c0f0f47727070000,
27,D:\My Documents\SkyDrive\images\20111202_153128_Android.jpg,32.05823319910301,81.36785217285156,000000013f7f7dfc,
28,D:\My Documents\SkyDrive\images\20111224_202008_Android.jpg,36.18783690329644,108.87226582845052,ffff741838310486,
29,D:\My Documents\SkyDrive\images\20111224_202026_Android.jpg,37.55197234024601,87.25141560872396,3f3f3f3808100000,
30,D:\My Documents\SkyDrive\images\20111229_164456_Android.jpg,395.2073647050136,136.44493225097656,3b1f0700c0070f1b,
31,D:\My Documents\SkyDrive\images\20111229_165626_Android.jpg,44.55982620443755,131.03980489095053,c383e3e3a0020201,
32,D:\My Documents\SkyDrive\images\20111229_165630_Android.jpg,32.5870252096454,125.07859883626303,81818963b7840703,
33,D:\My Documents\SkyDrive\images\20111229_165636_Android.jpg,35.1339072306007,128.75842529296875,ffff000180000100,"0.8125-D:\My Documents\SkyDrive\images\20130825_200940_Android.jpg,0.8125-D:\My Documents\SkyDrive\images\20140214_180446_Android.jpg"
